iter	Logloss
0	0.6406801397
1	0.5986480713
2	0.5550494339
3	0.5168423508
4	0.4856865623
5	0.4563035098
6	0.4336557966
7	0.4126077421
8	0.3932953748
9	0.3719162796
10	0.355124647
11	0.3367324598
12	0.3176207687
13	0.3037964792
14	0.2895354647
15	0.2769658349
16	0.2662628058
17	0.2556118821
18	0.2470265591
19	0.2371593533
20	0.2288238352
21	0.219995701
22	0.212873849
23	0.2063861471
24	0.2003360517
25	0.1945125117
26	0.1893290606
27	0.184547959
28	0.1793270256
29	0.1744846286
30	0.1698828899
31	0.1652607918
32	0.1609915531
33	0.1568194447
34	0.151743412
35	0.1479523977
36	0.1440671285
37	0.1416829716
38	0.1376562986
39	0.134020473
40	0.1313056512
41	0.1287419868
42	0.1262695428
43	0.1236165943
44	0.1210005356
45	0.1186518597
46	0.1159369079
47	0.1139342135
48	0.1119162964
49	0.1094092889
50	0.1079521468
51	0.1054159367
52	0.1033650312
53	0.1014248964
54	0.1000495824
55	0.09806828065
56	0.09632987687
57	0.09473591862
58	0.09354381128
59	0.09218692057
60	0.0903634158
61	0.08911125588
62	0.08750758749
63	0.0858798027
64	0.08518721841
65	0.08380215096
66	0.08217928626
67	0.08077856266
68	0.07956040989
69	0.07838588772
70	0.07749982314
71	0.07639120564
72	0.07502762477
73	0.07409981525
74	0.07330289032
75	0.07239411094
76	0.07157079379
77	0.07083538807
78	0.06940721743
79	0.06892298207
80	0.06847816525
81	0.06747999336
82	0.06677624674
83	0.06593353098
84	0.06514607054
85	0.06448893836
86	0.06376248417
87	0.06323322383
88	0.06247072509
89	0.0620016546
90	0.06109049826
91	0.06068157427
92	0.06005393375
93	0.0595095266
94	0.05916139935
95	0.0585742647
96	0.05801656752
97	0.05769230741
98	0.05721585678
99	0.05680608388
